ID 	 x 	 y 	 w 	 h 	AREA
2 	 258 	 464 	 54 	 42 	 2268
2 	 322 	 473 	 54 	 43 	 2322
2 	 322 	 473 	 54 	 43 	 2322
2 	 387 	 484 	 53 	 40 	 2120
2 	 451 	 492 	 53 	 44 	 2332
2 	 451 	 492 	 53 	 44 	 2332
2 	 514 	 500 	 52 	 43 	 2236
2 	 576 	 512 	 52 	 40 	 2080
2 	 576 	 512 	 52 	 40 	 2080
2 	 640 	 520 	 48 	 40 	 1920
2 	 700 	 528 	 48 	 42 	 2016
2 	 759 	 536 	 49 	 40 	 1960
2 	 759 	 536 	 49 	 40 	 1960
2 	 820 	 544 	 48 	 40 	 1920
2 	 879 	 554 	 47 	 40 	 1880
2 	 937 	 562 	 46 	 40 	 1840
2 	 937 	 562 	 46 	 40 	 1840
2 	 996 	 570 	 44 	 40 	 1760
2 	 1052 	 580 	 44 	 36 	 1584
2 	 1108 	 588 	 44 	 36 	 1584
2 	 1108 	 588 	 44 	 36 	 1584
2 	 1164 	 596 	 44 	 36 	 1584
2 	 1219 	 602 	 43 	 38 	 1634
2 	 1274 	 610 	 42 	 38 	 1596
2 	 1274 	 610 	 42 	 38 	 1596
2 	 1328 	 618 	 44 	 38 	 1672
2 	 1380 	 624 	 44 	 40 	 1760
2 	 1434 	 634 	 42 	 38 	 1596
2 	 1434 	 634 	 42 	 38 	 1596
2 	 1486 	 640 	 42 	 39 	 1638
2 	 1538 	 648 	 42 	 37 	 1554
3 	 410 	 5 	 21 	 19 	 399
2 	 1590 	 654 	 42 	 38 	 1596
4 	 616 	 109 	 22 	 19 	 418
2 	 1590 	 654 	 42 	 38 	 1596
4 	 616 	 109 	 22 	 19 	 418
2 	 1640 	 660 	 41 	 39 	 1599
5 	 787 	 200 	 22 	 15 	 330
2 	 1690 	 668 	 42 	 36 	 1512
6 	 934 	 277 	 18 	 11 	 198
2 	 1740 	 675 	 42 	 36 	 1512
7 	 1058 	 340 	 16 	 11 	 176
2 	 1740 	 675 	 42 	 36 	 1512
7 	 1058 	 340 	 16 	 11 	 176
2 	 1790 	 682 	 40 	 33 	 1320
8 	 1164 	 394 	 18 	 12 	 216
2 	 1840 	 688 	 40 	 34 	 1360
9 	 1260 	 441 	 16 	 12 	 192
2 	 1888 	 696 	 40 	 31 	 1240
9 	 1343 	 484 	 17 	 12 	 204
2 	 1888 	 696 	 40 	 31 	 1240
9 	 1343 	 484 	 17 	 12 	 204
2 	 1934 	 702 	 40 	 34 	 1360
9 	 1419 	 520 	 16 	 11 	 176
2 	 1981 	 708 	 41 	 34 	 1394
9 	 1490 	 552 	 11 	 13 	 143
2 	 2028 	 712 	 42 	 36 	 1512
9 	 1551 	 583 	 10 	 13 	 130
2 	 2028 	 712 	 42 	 36 	 1512
9 	 1551 	 583 	 10 	 13 	 130
2 	 2074 	 720 	 42 	 36 	 1512
9 	 1605 	 613 	 12 	 11 	 132
2 	 2120 	 726 	 44 	 37 	 1628
9 	 1653 	 641 	 15 	 10 	 150
2 	 2166 	 732 	 43 	 36 	 1548
2 	 2166 	 732 	 43 	 36 	 1548
2 	 2212 	 738 	 42 	 34 	 1428
10 	 1747 	 691 	 11 	 8 	 88
2 	 2256 	 744 	 43 	 33 	 1419
10 	 1790 	 710 	 8 	 8 	 64
2 	 2301 	 750 	 43 	 34 	 1462
2 	 2301 	 750 	 43 	 34 	 1462
2 	 2344 	 756 	 45 	 34 	 1530
2 	 2388 	 762 	 44 	 36 	 1584
11 	 1893 	 766 	 11 	 8 	 88
2 	 2432 	 768 	 44 	 35 	 1540
11 	 1924 	 784 	 13 	 6 	 78
2 	 2432 	 768 	 44 	 35 	 1540
11 	 1924 	 784 	 13 	 6 	 78
2 	 2474 	 772 	 46 	 38 	 1748
11 	 1956 	 799 	 10 	 8 	 80
11 	 1984 	 813 	 8 	 8 	 64
2 	 2516 	 780 	 44 	 32 	 1408
11 	 1984 	 813 	 8 	 8 	 64
2 	 2516 	 780 	 44 	 32 	 1408
11 	 2010 	 827 	 9 	 9 	 81
2 	 2558 	 784 	 46 	 34 	 1564
11 	 2033 	 840 	 11 	 9 	 99
2 	 2601 	 790 	 45 	 33 	 1485
2 	 2642 	 796 	 46 	 34 	 1564
2 	 2642 	 796 	 46 	 34 	 1564
0 	 0 	 0 	 1920 	 540 	 1036800
1 	 1565 	 499 	 165 	 13 	 2145
2 	 1108 	 474 	 90 	 33 	 2970
3 	 1330 	 503 	 72 	 1 	 72
4 	 951 	 496 	 56 	 7 	 392
5 	 1910 	 282 	 10 	 13 	 130
5 	 1891 	 280 	 29 	 15 	 435
6 	 0 	 90 	 20 	 15 	 300
5 	 1871 	 280 	 30 	 15 	 450
6 	 10 	 90 	 30 	 17 	 510
5 	 1851 	 280 	 29 	 15 	 435
6 	 30 	 92 	 30 	 16 	 480
5 	 1832 	 280 	 28 	 15 	 420
6 	 48 	 94 	 30 	 15 	 450
5 	 1812 	 280 	 28 	 15 	 420
6 	 68 	 94 	 28 	 16 	 448
5 	 1792 	 280 	 30 	 16 	 480
6 	 88 	 96 	 28 	 15 	 420
5 	 1773 	 280 	 29 	 16 	 464
6 	 107 	 97 	 27 	 16 	 432
5 	 1755 	 280 	 29 	 16 	 464
6 	 127 	 99 	 26 	 15 	 390
5 	 1736 	 280 	 28 	 16 	 448
6 	 145 	 100 	 27 	 15 	 405
5 	 1718 	 280 	 26 	 16 	 416
6 	 164 	 102 	 26 	 14 	 364
5 	 1699 	 280 	 29 	 16 	 464
6 	 184 	 103 	 24 	 15 	 360
5 	 1681 	 280 	 27 	 16 	 432
6 	 200 	 104 	 26 	 15 	 390
5 	 1663 	 280 	 27 	 16 	 432
6 	 220 	 106 	 25 	 15 	 375
5 	 1681 	 280 	 27 	 16 	 432
6 	 200 	 104 	 26 	 15 	 390
5 	 1699 	 280 	 29 	 16 	 464
6 	 184 	 103 	 24 	 15 	 360
5 	 1718 	 280 	 26 	 16 	 416
6 	 164 	 102 	 26 	 14 	 364
5 	 1736 	 280 	 28 	 16 	 448
6 	 146 	 100 	 26 	 15 	 390
5 	 1755 	 280 	 29 	 16 	 464
6 	 127 	 99 	 26 	 15 	 390
5 	 1773 	 280 	 29 	 16 	 464
6 	 107 	 97 	 27 	 16 	 432
5 	 1773 	 280 	 29 	 16 	 464
6 	 107 	 97 	 27 	 16 	 432
5 	 1773 	 280 	 29 	 16 	 464
6 	 107 	 97 	 27 	 16 	 432
5 	 1755 	 280 	 29 	 16 	 464
6 	 127 	 99 	 26 	 15 	 390
5 	 1736 	 280 	 28 	 16 	 448
6 	 146 	 100 	 26 	 15 	 390
5 	 1718 	 280 	 26 	 16 	 416
6 	 164 	 102 	 27 	 14 	 378
5 	 1699 	 280 	 29 	 16 	 464
6 	 184 	 103 	 24 	 15 	 360
5 	 1681 	 280 	 27 	 16 	 432
6 	 200 	 104 	 26 	 15 	 390
5 	 1663 	 280 	 27 	 16 	 432
6 	 219 	 106 	 26 	 15 	 390
7 	 1166 	 501 	 129 	 3 	 387
5 	 1644 	 280 	 28 	 16 	 448
6 	 237 	 106 	 25 	 15 	 375
7 	 1166 	 501 	 129 	 3 	 387
5 	 1626 	 280 	 30 	 16 	 480
6 	 255 	 108 	 25 	 15 	 375
5 	 1610 	 280 	 24 	 16 	 384
6 	 272 	 110 	 25 	 14 	 350
5 	 1592 	 281 	 26 	 15 	 390
6 	 290 	 111 	 25 	 14 	 350
5 	 1592 	 281 	 26 	 15 	 390
6 	 290 	 111 	 25 	 14 	 350
5 	 1592 	 281 	 26 	 15 	 390
6 	 290 	 111 	 25 	 14 	 350
5 	 1573 	 281 	 26 	 15 	 390
6 	 308 	 112 	 24 	 15 	 360
5 	 1556 	 281 	 26 	 15 	 390
6 	 325 	 114 	 25 	 14 	 350
5 	 1538 	 282 	 27 	 15 	 405
6 	 344 	 114 	 24 	 15 	 360
5 	 1521 	 282 	 26 	 15 	 390
6 	 360 	 116 	 24 	 14 	 336
5 	 1504 	 282 	 25 	 15 	 375
6 	 376 	 117 	 24 	 15 	 360
5 	 1487 	 282 	 25 	 15 	 375
6 	 392 	 118 	 25 	 18 	 450
5 	 1487 	 282 	 25 	 15 	 375
6 	 392 	 118 	 25 	 18 	 450
5 	 1487 	 282 	 25 	 15 	 375
6 	 392 	 118 	 25 	 18 	 450
5 	 1471 	 282 	 25 	 15 	 375
6 	 408 	 120 	 26 	 16 	 416
5 	 1454 	 282 	 24 	 15 	 360
6 	 426 	 120 	 24 	 16 	 384
5 	 1437 	 282 	 25 	 15 	 375
6 	 431 	 122 	 36 	 14 	 504
5 	 1421 	 282 	 25 	 15 	 375
6 	 460 	 122 	 24 	 15 	 360
5 	 1421 	 282 	 25 	 15 	 375
6 	 460 	 122 	 24 	 15 	 360
5 	 1421 	 282 	 25 	 15 	 375
6 	 460 	 122 	 24 	 15 	 360
5 	 1404 	 282 	 26 	 16 	 416
6 	 475 	 124 	 27 	 15 	 405
5 	 1388 	 283 	 24 	 15 	 360
6 	 492 	 126 	 24 	 14 	 336
5 	 1372 	 284 	 24 	 14 	 336
6 	 506 	 127 	 26 	 14 	 364
5 	 1356 	 284 	 24 	 15 	 360
6 	 523 	 128 	 25 	 14 	 350
8 	 603 	 506 	 107 	 4 	 428
9 	 1200 	 501 	 86 	 3 	 258
5 	 1340 	 284 	 24 	 15 	 360
6 	 538 	 128 	 24 	 15 	 360
8 	 603 	 500 	 107 	 10 	 1070
9 	 1188 	 497 	 98 	 7 	 686
5 	 1324 	 284 	 24 	 16 	 384
6 	 554 	 130 	 24 	 15 	 360
8 	 603 	 500 	 107 	 10 	 1070
9 	 1188 	 497 	 98 	 7 	 686
5 	 1308 	 284 	 24 	 16 	 384
6 	 570 	 132 	 24 	 14 	 336
8 	 603 	 500 	 107 	 10 	 1070
9 	 1188 	 497 	 97 	 7 	 679
5 	 1308 	 284 	 24 	 16 	 384
6 	 570 	 132 	 24 	 14 	 336
8 	 603 	 500 	 107 	 10 	 1070
9 	 1188 	 497 	 93 	 5 	 465
5 	 1308 	 284 	 24 	 16 	 384
6 	 570 	 132 	 24 	 14 	 336
8 	 603 	 500 	 107 	 10 	 1070
9 	 1188 	 497 	 89 	 5 	 445
5 	 1292 	 285 	 24 	 15 	 360
6 	 586 	 133 	 22 	 14 	 308
5 	 1277 	 285 	 23 	 15 	 345
6 	 600 	 134 	 24 	 14 	 336
5 	 1261 	 286 	 23 	 14 	 322
6 	 616 	 136 	 24 	 13 	 312
5 	 1247 	 286 	 23 	 15 	 345
6 	 631 	 136 	 23 	 14 	 322
5 	 1231 	 286 	 23 	 15 	 345
6 	 646 	 138 	 23 	 13 	 299
5 	 1216 	 286 	 23 	 16 	 368
6 	 661 	 139 	 23 	 13 	 299
5 	 1200 	 287 	 24 	 15 	 360
6 	 676 	 140 	 22 	 14 	 308
5 	 1185 	 288 	 23 	 14 	 322
6 	 690 	 141 	 22 	 14 	 308
5 	 1170 	 288 	 24 	 14 	 336
6 	 705 	 142 	 23 	 14 	 322
5 	 1170 	 288 	 24 	 14 	 336
6 	 705 	 142 	 23 	 14 	 322
5 	 1170 	 288 	 24 	 14 	 336
6 	 705 	 142 	 23 	 14 	 322
5 	 1156 	 288 	 23 	 15 	 345
6 	 720 	 144 	 22 	 14 	 308
5 	 1141 	 288 	 23 	 16 	 368
